_id,AID,AName,Description,Benefits,Breathing,awareness,Level,ImagePath,Variations
65f08d051bad35f99effc06f,2,Goolf Naman,"Remain in the base position.\nSlowly move both feet backward and fotward, bending\nthem from the ankle joints. Try to stretch the feet fotward\nto touch the floor and then draw them back towards the\nknees. Hold each position for a few seconds.\nRepeat 10 times.","This group of asanas is concerned with loosening up the joints\nof the body. It is excellent for those debilitated by rheumatism,\n\narthritis, high blood pressure, heart problems or other ail-\nments where vigorous physical exercise is not advised. It is\n\nparticularly useful for eliminating energy blockages in the\njoints of the physical body, and for improving coordination,\nself-awareness and self-confidence.",Inhale as the feet move backward.\nExhale as the feet move fotward.,"On the stretch in the foot, ankle, calf and leg, and\nthe breath.",Beginners,yoga_images/goolf_naman.jpg,
65f08d051bad35f99effc081,20,Pada Sanchalanasana,"Stage I : Lie in the starting position and relax. Raise the right leg. Bend the knee and bring the thigh to the chest. Raise and straighten the leg completely. Then lower the straight leg in a forward movement. Bend the knee and bring it back to the chest to complete the cycling movement. The heel should not touch the floor during the movement. Practise 1 0 times in a forward direction and then 1 0 times in reverse. Repeat with the left leg.\nStage 2: Raise both legs. Practise alternate cycling movements as though peddling a bicycle. Practise 10 times forward and then 10 times backward.\nStage 3: Raise both legs and keep them together throughout the practice. Bring the knees as close as possible to the chest on the backward movement and straighten the legs fully on  the forward movement. Slowly lower the legs together, keeping the knees straight, until the legs are just above the floor. Then bend the knees and bring them back to the chest. Practise 3 to 5 forward cycling movements and the same in reverse. Do not strain.",Good for hip and knee joints. Strengthens abdominal and lower back muscles.,Inhale while straightening the leg. Exhale while bending the knee and bringing the thigh to the chest.\nBreathe normally throughout. \nInhale while straightening the legs. Exhale while bending the legs to the chest. ,"On the smoothness of the movement and proper coordination, especially while reverse cycling. \,y}]en relax­ing, be aware of the abdomen, hip, thighs and lower back, and the breath.",Beginners,yoga_images/pada_sanchalanasana.jpg,
65f08d051bad35f99effc083,22,Jhulana Lurhakanasana,"Stage I : Lie flat on the back. Bend both legs to the chest. Interlock the fingers of both hands and clasp them around the shins just below the knees. This is the starting position. Roll the body from side to side 5 to 1 0 times, touching the side of the legs on the floor.\nStage 2: Sit  in the  squatting position with the  buttocks just above the floor. Interlock the fingers of both hands and clasp them around the shins just below the knees","This asana massages the back, buttocks and hips. It is most useful if done first thing in the morning after waking.",Inhale as you roll backwards. Exhale as you come fotward.,On the coordination of movement.,Beginners,yoga_images/jhulana_lurhakanasana.jpg,
65f08d051bad35f99effc085,24,Shava Udarakarshanasana,"Lie in the starting position with the legs and feet together. Stretch the arms out to the sides at shoulder level with the palms of the hands facing down. Bend the right leg and place the sole of the foot beside the left kneecap. Place the left hand on top of the right knee. This is the starting position. Gently bring the right knee down towards the floor on the left side of the body, keeping the leg bent and the foot in contact with the left knee. Turn the head to the right, looking along the straight arm, and gaze at the middle finger of the right hand. The left hand should be on the right knee and the right arm and shoulder should remain in contact with the floor. In the final position, the head should be turned in the opposite direction to the fo lded knee and the other leg should remain straight. Hold the position for as long as is comfortable. Return to the starting position, bringing the head and knee to the centre. Stretch the right arm out to the side and straighten the right leg. Repeat on the opposite side. Practise once to each side, gradually extending the holding time.","Tightness and tiredness are relieved, especially in the lower back. The pelvic and abdominal organs are toned through its massaging action.",Inhale in the starting position. Exhale while pushing the knee towards the floor and turning the head.\nBreathe deeply and slowly in the final position. Inhale while centring the body and exhale while straight­ening the leg. ,"On the relaxation of the back, arms and shoulders, and the breath.",Beginners,yoga_images/shava_udarakarshanasana.jpg,
65f08d051bad35f99effc087,26,Rajju Karshanasana,"Sit on the floor with the legs straight and together. Keep the eyes open. Imagine that there is a rope hanging in front of the body. Breathe in while reaching up with the right hand as though to grasp the rope at a higher point. Keep the elbow straight. Look upward. While breathing out, slowly pull the right arm down, putting power into it as though pulling the rope downwards. Let the eyes follow the downward movement of the hand. Repeat with the left hand and arm to complete the first round. Both arms do not move at the same time. Practise 10 rounds.",This asana loosens the shoulder joints and stretches the upper back muscles. It firms the breast and develops the muscles of the chest.,Inhale while raising the arm. Exhale while lowering the arm.,"On the movement and stretch of the upper back and shoulder muscles, and the breath.",Beginners,yoga_images/rajju_karshanasana.jpg,
65f08d051bad35f99effc089,28,Chakki Chalanasana,"Sit with the legs stretched out in front of the body with the fe et widely separated. Interlock the fingers of both hands and hold the arms out straight in front of the chest. Keep the arms straight and horizontal throughout the practice; do not bend the elbows. Bend forward as far as possible without straining. Imagine the action of churning a mill with an old-fashioned stone grinder. Swivel to the right so that the hands pass above the right toes and as far to the right as possible without straining. Lean back as fa r as possible on the backward swing. Try to move the body from the waist. On the forward swing, bring the arms and hands to the left side, over the left toes and then back to the centre position. One rotation is one round. Practise 5 to 10 rounds clockwise and then the same number of rounds anti-clockwise.",This asana is excellent for toning the nerves and organs of the pelvis and abdomen. It is very useful for regulating the menstrual cycle and may be performed during the first three months of pregnancy. It is also an excellent exercise for postnatal recovery.,Inhale while leaning back. Exhale while moving forward.,"On the movement and sensations in the lower back, hips and pelvic area, and the breath.",Beginners,yoga_images/chakki_chalanasana.jpg,
65f08d051bad35f99effc08e,33,Kauva Chalasana,"Squat with the feet apart and the buttocks above the heels. Place the palms of the hands on the knees. Take small steps in the squatting position. Try to keep the knees flexed so that the buttocks are not moved away from the heels. Walk either on the toes or the soles of the feet, whichever is most difficult. As you take a step foiWard, bring the opposite knee to the floor. Take as many steps as possible, up to 50, and then relax in shavasana.",This asana prepares the legs for meditation asanas and improves blood circulation in the legs. It also helps to remove constipation.,Breathe normally throughout,"While walking: on smoothness of movement. While resting in shavasana: on the effects of the asana on the lower back, hips, knees and ankles, and on the heartbeat or breath.",Beginners,yoga_images/kauva_chalasana.jpg,
65f08d051bad35f99effc099,44,Advasana (reversed corpse pose),"Lie on the stomach. Stretch both arms above the head with the palms facing downward. The forehead should be resting on the floor. Relax the whole body in the same way as described for shavasana. If there is difficulty breathing or a sense of suflocation is experienced, a pillow may be placed under the chest. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","Recommended for those with slipped disc, stiff neck and stooping figure.",: Natural and rhythmic. The number of breaths may be counted as in shavasana while gently pushing the abdomen against the floor.,"Physical - on relaxing the whole body, and on the breath. Spiritual - on ajna or manipura chakra.",Beginners,yoga_images/advasana_(reversed_corpse_pose).jpg,
65f08d051bad35f99effc09b,46,Makarasana (crocodile pose),"Lie flat on the stomach. Raise the head and shoulders and rest the chin in the palms of the hands with the elbows on the floor. Keep the elbows together for a more pronounced arch to the spine. Separate the elbows slightly to relieve excess pressure on the neck. In makarasana the effect is felt at two points: the neck and the lower back. If the elbows are too far in front, tension will be felt in the neck; if they are drawn too close to the chest, tension will be felt more in the lower back. Adjust the position of the elbows so that these two points are equally balanced. The ideal position is when the whole spine is equally relaxed. Relax the whole body and close the eyes. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","This asana is very effective for people suffering from slipped disc, sciatica, and certain types of lower back pain. They should remain in this asana for extended periods of time as it encourages the vertebral column to resume its normal shape and releases compression of the spinal nerves. Asthmatics and people who have any other lung ailments should practise this simple asana regularly with breath awareness as it allows more air to enter the lungs.","Natural and rhythmic, or practise inhaling, moving the awareness up along the spine from the tail bone to the neck and exhaling, bringing the awareness back down from the neck to the tail bone. Feel the breath moving up and down the spine. This will quickly activate the healing energies in this area. For lower back pain due to tension, concentrate on this area and feel it expanding and relaxing with every inhalation and exhalation","Physical - with concentration on the lower back, and relaxing the whole body, and on the breathing process. Spiritual - on manipura chakra.",Beginners,yoga_images/makarasana_(crocodile_pose).jpg,
65f08d051bad35f99effc09c,47,Matsya Kridasana (flapping fish pose),"Lie on the stomach with the fingers interlocked under the head. Bend the left leg sideways and bring the left knee close to the ribs. The right leg should remain straight. Swivel the arms to the left and rest the left elbow near the left knee. Rest the right side of the head on the crook of the right arm, or a little further down the arm for more comfort. Relax in the final pose and, after some time, change sides. This position resembles a flapping fish. 91 Mter some time, again become aware of the body and sun·oundings, and gently and smoothly release the posture.","This asana stimulates digestive peristalsis. It relieves sciatic pain by relaxing the nerves in the legs. People for whom the practice of fotward bending asanas is not recomtnended may practise matsya kridasana as a counterpose after backward bending asanas. It relaxes tension in the perineum. In the later months of pregnancy, lying on the back may cause pressure over major veins and block the circulation. In such circumstances, this posture is ideal for relaxing, sleeping or practising yoga nidra. The bent knee and the head may. be supported on a pillow for further comfort.",Normal and relaxed in the static pose.,"Physical - on relaxing the whole body, and on the breath. Spiritual - on manipura chakra.",Beginners,yoga_images/matsya_kridasana_(flapping_fish_pose).jpg,
65f08d051bad35f99effc09e,49,Ardha Padmasana (half lotus pose),"Sit with the legs straight in front of the body. Bend one leg and place the sole of the foot on the inside of the opposite thigh. Bend the other leg and place the foot on top of the opposite thigh. 97 Without straining, try to place the upper heel as near as possible to the abdomen. Adjust the position so that it is comfortable. Place the hands on the knees in either chin or jnana mudra. Keep the back, neck and head upright and straight. Close the eyes and relax the whole body.",The same benefits as given for padmasana but at a reduced level.,inhale or exhale,focus on the breath,Beginners,yoga_images/ardha_padmasana_(half_lotus_pose).jpg,
65f08d051bad35f99effc0a2,53,Swastikasana (auspicious pose),"Sit with the legs straight in front of the body. Bend the left knee and place the sole of the left foot against the inside of the right thigh so there is no contact between the heel and the perineum. Bend the right knee and place the right foot in the space between the left thigh and calf muscle so that there is no 1 03 contact between the heel and the pubis. Grasp the toes of the left foot and pull them up into the space between the right calf and thigh. Adjust the position so that it is comfortable. The knees should be firmly on the floor. Straighten the spine. Place the hands on the knees in chin, jnana or chinmaya mudra.","Swastikasana is a healthy position to sit in, especially for those suffering from varicose veins, tired and aching muscles or fluid retention in the legs.",inhale or exhale,focus on the breath,Beginners,yoga_images/swastikasana_(auspicious_pose).jpg,"Sit with the legs straight in front of the body. Bend the left leg and place the sole against the inside of the right thigh. Similarly, bend the right leg and place the heel of the right foot on the floor in front of the left foot with the sole resting against the left shin. The heels will now be one in front of the other. The hands may be placed on the knees in jnana, chin or chinmaya mudra, or they may be placed in the lap. Close the eyes and relax the whole body."
